AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2875,POLICE SERGEANT                    ,M,W ,50 - 59,52,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,29,483
2876,POLICE OFFICER                     ,M,W ,50 - 59,53,6TH DIVISION                                           ,2ND PLATOON                                            ,29,484
2877,POLICE OFFICER                     ,M,B ,50 - 59,58,2ND DIVISION                                           ,2ND PLATOON                                            ,29,485
2878,POLICE OFFICER                     ,M,W ,50 - 59,55,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,29,486
2879,POLICE OFFICER                     ,M,W ,50 - 59,52,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,29,487
2880,POLICE SERGEANT                    ,F,W ,50 - 59,58,CHIEF`S STAFF                                          ,STAFF                                                  ,29,488
2881,ASST POLICE CHIEF-LT COLONEL       ,M,B ,50 - 59,52,SUPPORT BUREAU                                         ,STAFF                                                  ,29,489
2882,POLICE SERGEANT                    ,M,W ,50 - 59,53,7TH DIVISION                                           ,1ST PLATOON                                            ,29,490
2883,POLICE SERGEANT                    ,M,W ,50 - 59,55,6TH DIVISION                                           ,1ST PLATOON                                            ,29,491
2885,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,29,492
2886,POLICE OFFICER                     ,M,B ,50 - 59,55,8TH DIVISION                                           ,2ND PLATOON                                            ,29,493
2887,POLICE OFFICER                     ,M,W ,OVER 60,67,TRAFFIC                                                ,2ND PLATOON                                            ,29,494
2891,POLICE OFFICER                     ,F,B ,50 - 59,57,TRANSCRIBERS                                           ,INVESTIGATIVE SUPPORT                                  ,29,495
2892,POLICE SERGEANT                    ,M,B ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,29,496
2893,POLICE OFFICER                     ,M,W ,50 - 59,51,4TH DIVISION                                           ,DETECTIVES 1                                           ,29,497
2894,POLICE OFFICER                     ,M,W ,50 - 59,58,TRAINING                                               ,BASIC ACADEMY                                          ,29,498
2895,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,2ND PLATOON                                            ,28,499
2896,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,2ND PLATOON                                            ,29,500
2897,POLICE OFFICER                     ,M,B ,50 - 59,57,2ND DIVISION                                           ,3RD PLATOON                                            ,29,501
2898,POLICE OFFICER                     ,M,B ,OVER 60,61,2ND DIVISION                                           ,DETECTIVES                                             ,29,502
2900,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,29,503
2903,POLICE SERGEANT                    ,M,W ,OVER 60,67,1ST DIVISION                                           ,1ST PLATOON                                            ,29,504
2905,POLICE OFFICER                     ,F,W ,50 - 59,56,3RD DIVISION                                           ,2ND PLATOON                                            ,21,505
2906,POLICE OFFICER                     ,M,W ,OVER 60,61,RCFL                                                   ,STAFF                                                  ,29,506
2907,POLICE OFFICER                     ,M,W ,40 - 49,47,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,19,507
2908,POLICE OFFICER                     ,M,W ,50 - 59,51,4TH DIVISION                                           ,2ND PLATOON                                            ,29,508
2909,POLICE OFFICER                     ,F,W ,50 - 59,55,4TH DIVISION                                           ,2ND PLATOON                                            ,21,509
2910,POLICE OFFICER                     ,M,W ,50 - 59,54,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,29,510
2911,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,AIR PATROL                                             ,STAFF                                                  ,29,511
2912,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,29,512
2913,ASST POLICE CHIEF-LT COLONEL       ,M,B ,50 - 59,54,SUPPORT BUREAU                                         ,STAFF                                                  ,29,513
2915,POLICE SERGEANT                    ,M,W ,50 - 59,58,COURT LIAISON OFFICE                                   ,STAFF                                                  ,28,514
